"","summary"
"676","02/01/2012: Assailants opened fire on a Yemeni military convoy at Hareib junction in Marib, Yemen. Three soldiers were killed and three more wounded. No group claimed responsibility for the attack.; however, government sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
"677","02/07/2012: Four assailants opened fire on a 201st Armored Army Brigade convoy near Houta, Lahij, Yemen. Two soldiers were killed and two more injured. No group claimed responsibility for the attack, though authorities suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
"678","02/11/2012: A senior intelligence officer was shot dead in Al Bayda city, Al Bayda governorate, Yemen. No group claimed responsibility, though sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP). The specific motive is unknown; however, AQAP recently asserted their intention to eliminate the government intelligence agencies' high-ranking members."
"679","02/14/2012: An explosive device detonated and assailants opened fire with automatic weapons near a police station in Sera town, Adan governorate, Yemen. There were no casualties. No group claimed responsibility, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
"680","02/14/2012: Assailants beheaded three people in southern Yemen. Al-Qa'ida in the Arabian Peninsula (AQAP) claimed responsibility for the attack, stating that the victims were executed for allegedly being spies for the United States."
"681","02/15/2012: Assailants opened fire on a vehicle carrying the leader of the Republican Guard in Al-Bayda city, Al Bayda governorate, Yemen. Colonel Khalid Wak was killed in the attack, as were the head of the election committee and three other people. Al-Qa'ida in the Arabian Peninsula (AQAP) claimed responsibility for the incident, stating that the government had failed to honor their side of an agreement to create an Islamic law council in exchange for the assailants vacating a town."
"682","02/15/2012: A suicide bomber detonated an explosives-laden vehicle by a security checkpoint on Sarwah-Madgal highway in Marib, Yemen. Seven soldiers were wounded, though the bomber was the only fatality. No group claimed responsibility for the incident, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
"683","02/16/2012: Assailants opened fire on an army patrol near Zinjibar town, Abyan governorate, Yemen. Eleven soldiers were wounded in the attack. Al-Qa'ida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"684","02/19/2012: A suicide bomber detonated an explosives-laden vehicle outside of the police academy in Baghdad city, Baghdad governorate, Iraq. At least 16 people were killed in the blast, and another 21 were injured; the majority of the victims were police officers and recruits. Al-Qa'ida in Iraq (AQI) claimed responsibility for the incident."
"685","02/19/2012: Gunmen attacked a family of police informers in Baqubah city, Diyala governorate, Iraq. Four family members were killed. No group claimed responsibility for the attack; however, sources suspected Al-Qa'ida in Iraq (AQI)."
"686","02/23/2012: An explosives-laden vehicle detonated near a police checkpoint in Karadah district, Baghdad city, Baghdad governorate, Iraq. One person was killed in the blast and 11 others were injured in the attack. This was one of 32 coordinated incidents across Iraq and one of two coordinated attacks at the same location on the same day. Al-Qa'ida in Iraq claimed responsibility for the incidents, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"687","02/23/2012: Assailants opened fire on a police checkpoint in Adhamiyah district, Baghdad city, Baghdad governorate, Iraq. Six people were killed and three more injured in the attack. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"688","02/23/2012: Two roadside bombs detonated in the vicinity of a police checkpoint in Karadah district, Baghdad city, Baghdad governorate, Iraq. Assailants also opened fire following the explosion. Two people were killed and nine more were injured in the attack. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"689","02/23/2012: An explosives-laden vehicle detonated near a restaurant in Shia area of Kadhimiyah district, Baghdad city, Baghdad governorate, Iraq. Six people were killed in the blast and another 15 were injured. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"690","02/23/2012: An explosives-laden vehicle detonated near police headquarters in Balad city, Saladin governorate, Iraq. Seven people were killed in the blast and another 32 were injured. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"691","02/23/2012: An explosives-laden vehicle detonated near the courthouse in Baiji city, Saladin governorate, Iraq. Three people were killed in the blast, and another five were injured. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"692","02/23/2012: An explosives-laden vehicle detonated in Al-Dejail city, Saladin governorate, Iraq. One person was killed and three more were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"693","02/23/2012: An explosives-laden vehicle detonated outside of the Patriotic Union of Kurdistan (PUK) office in Tuz Khurmatu city, Saladin governorate, Iraq. Five people were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"694","02/23/2012: Assailants opened fire on a government office in Sulaiman Pek district, Saladin governorate, Iraq. Two police officers were killed and three people were injured, including the police chief and head of the municipal council. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"695","02/23/2012: At least one explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. At least three people were killed and another eight were injured in the blast. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
"696","02/23/2012: Five explosive devices detonated in the Kurdish area of Jalawla city, Diyala governorate, Iraq. Three people were killed in the blast, and another eight were injured. This was one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claimed responsibility for the attacks, stating that they were in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons."
